param_id,param_name,value,units,reaction,description,source
k1,k_TF_VII_bind,3.2e6,1/(M*s),R1,TF + VII -> TF:VII binding,Inherited reduced-model value; not independently source-verified
k28,k_tase_Xa_cat,8.2,1/s,R18,IXa:VIIIa:X -> IXa:VIIIa + Xa tenase catalysis,Inherited reduced-model value; not independently source-verified
k29,k_IIa_VIII_act,2.0e7,1/(M*s),R19,IIa + VIII -> IIa + VIIIa activation by thrombin,Inherited reduced-model value; not independently source-verified
k30,k_VIIIa_inact,6.0e-3,1/s,R20,VIIIa -> VIIIa_i spontaneous inactivation,Inherited reduced-model value; not independently source-verified
k31,k_IIa_V_act,2.0e7,1/(M*s),R21,IIa + V -> IIa + Va activation by thrombin,Inherited reduced-model value; not independently source-verified
k32,k_ATIII_IIa,7.1e3,1/(M*s),R22,ATIII + IIa -> ATIII:IIa inhibition,Inherited reduced-model value; not independently source-verified
k33,k_ATIII_Xa,2.3e4,1/(M*s),R23,ATIII + Xa -> ATIII:Xa inhibition,Inherited reduced-model value; not independently source-verified
k34,k_ATIII_IXa,4.9e2,1/(M*s),R24,ATIII + IXa -> ATIII:IXa inhibition,Inherited reduced-model value; not independently source-verified
k35,k_TFPI_Xa_bind,4.0e5,1/(M*s),R25,TFPI + Xa -> TFPI:Xa binding,Inherited reduced-model value; not independently source-verified
k36,k_TFPI_Xa_unbind,3.6e-4,1/s,R25,TFPI:Xa dissociation,Inherited reduced-model value; not independently source-verified
k37,k_TFPI_Xa_TF_VIIa_bind,2.0e7,1/(M*s),R26,TFPI:Xa + TF:VIIa -> TFPI:Xa:TF:VIIa quaternary inhibition,Inherited reduced-model value; not independently source-verified
k38,k_TFPI_Xa_TF_VIIa_unbind,1.0e-3,1/s,R26,TFPI:Xa:TF:VIIa dissociation,Inherited reduced-model value; not independently source-verified
k39,k_IIa_PC_act,0,1/(M*s),R27,IIa + PC -> IIa + APC activation (thrombomodulin-dependent),Disabled without exogenous thrombomodulin; optional sensitivity 6.2e3 M^-1 s^-1
k40,k_APC_Va_inact,2.0e7,1/(M*s),R28,APC + Va -> APC + Va_i inactivation,Inherited reduced-model value; not independently source-verified
k41,k_APC_VIIIa_inact,2.0e7,1/(M*s),R29,APC + VIIIa -> APC + VIIIa_i inactivation,Inherited reduced-model value; not independently source-verified
